"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","53.6673553719008","54.0561017407775","54.3840927684701","54.7083619944618","55.1140647740623","55.6311018131102","56.078458552814","56.7020965046771","57.4154320459022","58.0903889380833","58.674341826801","59.5460816312797","60.2482915336931","60.8907850395923","61.6439487814953","62.5686258346385","63.0774563039496","63.850511877547","64.825474994177","65.8091300143386","66.6350505857295","67.185100797464","67.5844418362024","67.8011060381969","67.9521255431236","68.1538363901758","67.7558904284529","67.5733807714078","67.6179249144523","67.751343557478","67.7962283581129","68.515853488696","69.0217630248406","69.2998427542829","69.4771838331161","69.6698453800762","69.4524911352846","69.3260149566398","69.2836518630551","69.2620556379489","69.2421140681063","69.3263289340539","69.4204958155692","69.5541926506211","69.7322314719167","69.9383191210725","69.8611524347912","69.6980774170602","69.4647826172762","69.1892797980595","68.8908137051291","68.9687647151154","69.1053099332962","69.2735204671544","69.410581877592","",
"Andorra","AND","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","55.0304048130958","54.7177969971451","54.5540173711431","54.480848088271","54.4263769517749","54.3590074962573","54.0250655222601","53.7334837875894","53.4843143118873","53.2906555226918","53.1556284420503","52.8185625622272","52.5746750675264","52.407258581691","52.3061449209792","52.2781931810289","52.0106323873204","51.7889060459469","51.6257419996314","51.5585797753702","51.6350561166361","51.3464610046547","51.1140640156261","50.9314570821384","50.7508912899129","50.49911878236","50.3010460139301","50.2123844101376","50.1567806235148","50.0311629102187","49.7277579496121","49.7492684161086","49.7808176125794","49.7805809096386","49.7889441105958","49.8812164324483","49.6939045178414","49.5106500840351","49.3729890856917","49.2791523666355","49.1994747725351","49.2773374714337","49.451821720393","49.6795271663928","49.9381868394905","50.2314554112984","50.1066586349895","49.9999072554953","49.9460867743403","49.9848845664201","50.1354059785052","50.5899007770686","51.19994571902","51.9203291778701","52.6943193054805","",
"Angola","AGO","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","53.0594530970752","52.6036338284127","52.1596149219571","51.7773699703619","51.5464370604803","51.499395058998","51.1759222371089","51.0630269413974","51.1021424989458","51.2051323930594","51.3151389889396","51.1249067011306","51.016880534127","50.9653988798875","50.955775548767","50.975330552919","50.7412280389308","50.5878831992236","50.4939330495408","50.4386837375432","50.4044350002131","50.1456351237651","49.9838603664531","49.894425849153","49.8665843366772","49.9060204865796","49.7079820824646","49.5900624089028","49.5511860515753","49.5798998834857","49.6537342725966","49.5242444478479","49.4966862523336","49.5414878646528","49.6368220600051","49.7758433743531","49.663388234905","49.6237176011247","49.6432405229597","49.6999277426908","49.7684584754611","49.6278655930032","49.5550319509443","49.5265614407903","49.5288022896129","49.5587771121014","49.4333485047327","49.3671596719062","49.3561038009246","49.4000882939038","49.496205316939","49.4788011245496","49.5449542688518","49.6733395592549","49.8410898282466","",
"Albania","ALB","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","54.4346946983412","54.0679434913438","53.694684472375","53.3530518566259","53.1115819300975","53.0102182081877","52.9545853599933","53.0634238840844","53.2934435645661","53.5826565958154","53.8967228710845","54.2779876841474","54.6437150430243","55.0290785035033","55.4830319864556","56.0184868380399","56.4868536702352","57.0511809788357","57.6591513096629","58.2373614490403","58.7498717946327","59.2090019153089","59.6089753130475","59.9644693979498","60.2980434865022","60.6128018783881","60.8770527355613","61.1077115696612","61.3148188462915","61.5319859886976","61.8015251170747","61.53088533503","61.3083080269072","61.1488567771175","61.0254490016984","60.8999117077233","61.292178546549","61.6368916636567","61.9503122564776","62.2778103992775","62.662201530126","63.0242761659144","63.4510065601234","63.9529746923769","64.5155002419648","65.1267028575952","65.7237372821882","66.2853235084191","66.8164295056715","67.2779760031619","67.6200591133412","68.1569017432372","68.57029986458","68.8480241780111","69.007321236014","",
"Arab World","ARB","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","53.2884555450693","52.8927062436011","52.5485209139879","52.2657678201127","52.0657099653593","51.9568501796937","51.7297945076496","51.627645811226","51.6127980780282","51.6463593026002","51.7125767300772","51.657384612477","51.6682889007028","51.7294343316417","51.820721173794","51.9228949342993","51.9791764083482","52.0470126231974","52.1251216732577","52.2234478880123","52.3499559016344","52.4107020648533","52.5155559542533","52.6519310413366","52.8020243286821","52.959746284178","53.0154063298121","53.1004502900284","53.2081824505215","53.346308613051","53.4939260140179","53.7102123126742","53.8891855401355","54.2327854981855","54.6363555873226","55.1737646360698","55.6545803598926","56.1570566778606","56.67476318987","57.2057284631726","57.7489693309614","58.2775958465373","58.8246142407953","59.3746347293821","59.9091505628629","60.4140781247337","60.908630190108","61.3752762330042","61.7928092694919","62.1421230035389","62.413134872528","62.5002432099265","62.5203102908902","62.4909547551393","62.4425159101194","",
"United Arab Emirates","ARE","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","51.8939230337321","53.2673169282567","54.7950819672131","56.3522233580373","57.8382289104326","59.1965034127649","60.4356922465653","61.4276316938427","62.2193921602487","62.9172544631999","63.5354281879423","65.8326064835005","67.834627810744","69.2719611935542","70.0383672457893","70.1813595851411","71.1568665591728","71.6491272727776","71.5707389707926","71.1233545022501","70.5545595005454","69.9817401391262","69.3209273900129","68.5775921157292","67.8228478502325","67.144612135515","66.9406409292103","67.0020428034136","67.2449538510345","67.6369663989085","68.173316742646","68.9579184503369","69.7806454041428","70.6351395743053","71.4996463804143","72.3234527221606","72.6602143025603","73.0178173719376","73.2270454354243","73.3141875633627","73.4344263585004","75.1554213741098","76.8559483332646","78.4300724971441","79.8065114079797","80.9281888167183","82.3266885891336","83.6023859835943","84.6006502474877","85.3545743043568","85.9630158186858","85.7534332517967","85.549668462879","85.3400528187126","85.12691694459","",
"Argentina","ARG","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","63.6953937070407","63.619098653711","63.572947961173","63.5570322514105","63.5710487500049","63.6113474480924","63.596598254649","63.6146395193379","63.6503341842039","63.6798953418268","63.6859822078632","63.6284320870482","63.5541370175867","63.460364787152","63.3410003429585","63.1893459060746","62.8826822883865","62.5181543346414","62.1273161099625","61.7641477027062","61.462275752957","61.0855986641519","60.8781185645066","60.7700105575541","60.6677264161812","60.5329776143374","60.5156773246293","60.4013927772846","60.2708589560509","60.2344335291714","60.3333084833549","60.3701581494442","60.5496145626929","60.8168963644244","61.0866293224219","61.3188129739666","61.4846016549612","61.6405999168666","61.7875137776837","61.9397035378741","62.1035827799606","62.2930846040868","62.4565792640446","62.611570636246","62.7805968987712","62.9708565923978","63.0979290296079","63.2696731838453","63.4562895319829","63.6141728348255","63.7230493991503","63.8010682641207","63.8314645861013","63.8344255567876","63.8445891121611","",
"Armenia","ARM","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","55.1951487525945","54.3557440419721","53.6876988467513","53.208202945576","52.9260808378151","52.853332728551","52.9308760836757","53.2817976664906","53.8476636314094","54.5268017440369","55.2508171829187","56.2703078855621","57.1730880390276","58.0159403662943","58.8963652563984","59.8474687240104","60.6086170157043","61.4611216940005","62.3146612548188","63.0514582712007","63.627176712319","64.02131673599","64.252459458977","64.3599739689776","64.4130894747152","64.4443925349797","64.4453087300468","64.4164366538677","64.3304441410319","64.1793029084997","64.0077919256805","63.5933360517006","63.1530915956732","62.7331198012389","62.3878893950442","62.1446630385648","62.3285566855999","62.6861423765287","63.1692428873117","63.6822116348075","64.1450629986431","64.6881932107988","65.1083321382663","65.4852095559903","65.9322824788779","66.4963911112644","66.9604328348813","67.5284468446182","68.1093864967367","68.592074192848","68.9372956805071","69.6080234933881","70.1604484915921","70.5461414240798","70.7567210462272","",
"American Samoa","ASM","Population ages 15-64 (% of total)","SP.POP.1564.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
