"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.8477715466352","43.3606927031659","42.9285383986056","42.4890205830996","41.9540935313612","41.2883542538354","40.6899778209038","39.9059415321539","39.0117324655305","38.1343232749813","37.316515703039","36.089706921498","35.0114454711023","33.9896080612228","32.8657579512598","31.5769516115737","30.8752413804486","29.9092204220919","28.7325724553289","27.5417653139485","26.5159078807242","25.8275958855482","25.3129890453834","25.0032152273166","24.7855358023905","24.5287808593006","24.8659089457889","24.9777634026037","24.8522357024739","24.6428103290077","24.5494625732123","24.0904940965291","23.8088957279988","23.6889293497752","23.5971316818775","23.4220551253641","23.5639161007272","23.5853804112491","23.4898482973555","23.349512381466","23.1790266129565","22.918595388292","22.6243486499289","22.2779982476937","21.8843045512548","21.4733432635883","21.2218585738372","21.071350945484","20.9863630084269","20.9148457837028","20.8096695768576","20.4343902056192","19.9535124471399","19.3944870337443","18.8358581220213","",
"Andorra","AND","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","42.1706091513168","42.4737518883092","42.6421684946936","42.7341498842529","42.8217290280404","42.9359264155353","43.2604865915231","43.5550218930232","43.8202926661755","44.0437033561884","44.2218335115681","44.5556098706884","44.8079593776372","44.9944163092678","45.1232193958322","45.1854389676701","45.4462001341869","45.6776123522853","45.8665943860892","45.9739872963596","45.9500695307965","46.220324610679","46.4592684566773","46.6775116570073","46.9292281811306","47.2965731991872","47.4603654584001","47.5241163908903","47.5705816082044","47.7122030510621","48.0651697069087","48.0294500731623","47.9805654597134","47.9605036868006","47.9260857946333","47.7971887590906","47.9888798636296","48.1865107992457","48.3438817425727","48.4598354275197","48.5636389106859","48.5060610311351","48.3474556965142","48.1316695937082","47.8814332857444","47.5924989676207","47.6963335089105","47.7868069705533","47.8252284946353","47.7666776894473","47.5893444319327","47.1004177246777","46.449243129172","45.6852570683615","44.8709961512615","",
"Angola","AGO","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","44.3130739593128","44.7417661846665","45.1749710249263","45.5603750614466","45.8046762439458","45.8736085272831","46.1733367806087","46.2718631468844","46.2282153886834","46.131709471951","46.0400773277888","46.2104387551659","46.3072323091993","46.3564345728247","46.372593807199","46.3681037080852","46.5896605634243","46.7381207574134","46.8342088952914","46.8980678953869","46.9469127308374","47.2064086044281","47.3736110008832","47.4726452034829","47.5132446888369","47.4881144160171","47.6845775512036","47.8087564575014","47.860426230528","47.8505113024758","47.8015109809874","47.9374831603394","47.9763010644553","47.9472410149079","47.8714720176325","47.7547151786299","47.8684954494338","47.915332910009","47.9080062955896","47.8680258701849","47.8208520584664","47.9594887575114","48.033494859245","48.0662820573116","48.0712324014917","48.0505714806646","48.1778761087243","48.2480237211325","48.2659754682067","48.2332569188371","48.1525878896816","48.1800263746328","48.1279913206738","48.0125768278523","47.8503168544999","",
"Albania","ALB","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","40.1549093122843","40.5407553587073","40.8996083780059","41.2118067636843","41.4323962516734","41.5320192497857","41.6421516532104","41.6001440940214","41.4365587241911","41.1977289623972","40.9099405654789","40.5412708216018","40.1790365074393","39.7900432740864","39.3287673730436","38.7846612661012","38.2960454288332","37.7103018465218","37.0803839267141","36.4810816779564","35.9488222821861","35.461986474022","35.036715722578","34.6596801542239","34.3109122929153","33.9873715745489","33.7100949916853","33.4768829757514","33.2648329842631","33.0222681602467","32.6958819766731","32.8123750167153","32.8548641877324","32.8128120470664","32.7300156592586","32.6548486558362","32.1279778941629","31.6641934556541","31.2372175946486","30.7868337843447","30.2633117283506","29.6367937830276","28.9228820484184","28.1148652008553","27.2320522411863","26.2911025082312","25.2543562367307","24.2331647983675","23.2230782344899","22.2681018988452","21.4251229288017","20.609006898798","19.9280930423405","19.3822939907695","18.9304268021744","",
"Arab World","ARB","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","43.1760796812111","43.5388932926591","43.8567513353577","44.11960392289","44.3062443687421","44.4079768316042","44.6150219496894","44.7041538527889","44.7111717573646","44.6729964380409","44.6039865014225","44.6417965965349","44.6169505808513","44.5473326578351","44.4559948114506","44.3631596289472","44.3104662291917","44.2556782624393","44.1964680472589","44.1184696473174","44.0108100287014","43.9573604174184","43.8608296007357","43.7329420293349","43.5906965199179","43.4385843238186","43.3734423973525","43.2776010548689","43.1560240899482","42.9995050843623","42.8407900835334","42.5839327292685","42.3455929853838","41.960328700132","41.5129297015811","40.9437004115598","40.418889113838","39.8764122081591","39.3217585471545","38.7573783752903","38.1846589641388","37.6292364340632","37.0598708951539","36.4923385069809","35.9464615035821","35.4361395194958","34.9367883351553","34.4724278009581","34.0594082274776","33.711084536377","33.4337287664461","33.3277781274968","33.2864105925994","33.2877115026678","33.2952119688965","",
"United Arab Emirates","ARE","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","44.7026303286831","43.5787493192058","42.2817177476835","40.9460452338359","39.6794964549269","38.5462818824093","37.5013192448332","36.6926493616873","36.0732170609567","35.5314491414117","35.0467646983868","32.9506468963512","30.9924738250188","29.4851667742011","28.5831555842708","28.2779780335614","27.3520981398631","26.879887777392","26.9576525814787","27.4049582498924","27.990271334564","28.6008335864343","29.3230681316936","30.1292948827924","30.9302354644851","31.6342980362595","31.8679974387438","31.8203333660305","31.5797593908931","31.1878218603051","30.6550855719537","29.8969260763437","29.1072275873273","28.2882873568458","27.4567402394963","26.6624173684533","26.3286523706441","25.9588397130108","25.7310966174916","25.6308881390533","25.5094868149796","23.8270405999009","22.162041920296","20.619460874544","19.2703872915747","18.1723864652555","16.8576099998936","15.6413869985524","14.6817558247352","13.9467359546647","13.3400956821534","13.4823638348192","13.6026169997304","13.7180864820689","13.8337747199333","",
"Argentina","ARG","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","30.7256169348043","30.660281479395","30.5690633672562","30.4495060435407","30.2988403987515","30.1187130916217","29.9756992282677","29.8033581687166","29.6171709948978","29.4416010985685","29.2942678745001","29.2028479168194","29.1392872922715","29.1059416529028","29.1088753711565","29.1546717637931","29.3240704542516","29.5683545927132","29.8527568740844","30.1181020591645","30.3265803120478","30.6240196058166","30.7485217022052","30.7726135342771","30.7950758310903","30.8555515932015","30.7596738554923","30.7841805236102","30.8379027671041","30.7963823829851","30.6132129372247","30.4697245760669","30.1807548081276","29.8068811528698","29.4434181217181","29.1340335017602","28.867596019987","28.6253809758423","28.4063376048361","28.1952678851652","27.9848266959955","27.7340920247863","27.5281507833198","27.3418364516872","27.1430536744537","26.9188908628072","26.7443283723576","26.5195039377504","26.2737377624508","26.0513652893487","25.871955801239","25.6983788212374","25.5704661412421","25.4657425928406","25.3464271985317","",
"Armenia","ARM","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","38.4340011438388","39.5172985344624","40.4121028683878","41.0892535694328","41.5256674865408","41.7023110244256","41.6562861454742","41.2915669220586","40.6817740490722","39.9501703733558","39.1772897798927","38.0776196155286","37.125718375586","36.2504361350451","35.3356503445696","34.3407003698264","33.5119887360723","32.5836971922424","31.6702730055342","30.9255118302654","30.4066985800462","30.0984619590354","29.9977105287802","30.036471833273","30.1061751046664","30.150185062233","30.2140049009116","30.2768773643686","30.3456918066373","30.3976041008039","30.3707653267771","30.3439550877129","30.2389304875464","30.0502155550405","29.7934949024953","29.4892331252465","28.9043226167311","28.2391418806165","27.4952633475942","26.6898849965415","25.860521998974","24.9015371060994","24.0255062845209","23.2368381185738","22.5300745344817","21.9026925119332","21.5238290018423","21.1698203249739","20.867225159822","20.6495178193107","20.5149593588114","19.9464013283091","19.4379148914882","19.013084721836","18.6636812352261","",
"American Samoa","ASM","Population ages 0-14 (% of total)","SP.POP.0014.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
